,y,a
415,2013-12-18,169
416,2013-12-19,154
417,2013-12-20,155
418,2013-12-21,221
419,2013-12-22,205
420,2013-12-23,201
421,2013-12-24,170
422,2013-12-25,435
423,2013-12-26,365
424,2013-12-27,248
425,2013-12-28,199
426,2013-12-29,267
427,2013-12-30,187
428,2013-12-31,161
429,2014-01-01,285
781,2014-12-18,262
782,2014-12-19,172
783,2014-12-20,210
784,2014-12-21,278
785,2014-12-22,264
786,2014-12-23,171
787,2014-12-24,148
788,2014-12-25,175
789,2014-12-26,261
790,2014-12-27,189
791,2014-12-28,296
792,2014-12-29,264
793,2014-12-30,253
794,2014-12-31,186
795,2015-01-01,343
1147,2015-12-18,-652
1148,2015-12-19,-607
1149,2015-12-20,-637
1150,2015-12-21,-680
1151,2015-12-22,-642
1152,2015-12-23,-636
1153,2015-12-24,-724
1154,2015-12-25,-743
1155,2015-12-26,-510
1156,2015-12-27,-587
1157,2015-12-28,-481
1158,2015-12-29,-510
1159,2015-12-30,-550
1160,2015-12-31,-413
1161,2016-01-01,-367
1514,2016-12-18,492
1515,2016-12-19,492
1516,2016-12-20,492
1517,2016-12-21,492
1518,2016-12-22,492
1519,2016-12-23,492
1520,2016-12-24,492
1521,2016-12-25,492
1522,2016-12-26,492
1523,2016-12-27,492
1524,2016-12-28,492
1525,2016-12-29,492
1526,2016-12-30,512
1527,2016-12-31,526
1528,2017-01-01,787
1880,2017-12-18,778
1881,2017-12-19,742
1882,2017-12-20,819
1883,2017-12-21,688
1884,2017-12-22,666
1885,2017-12-23,978
1886,2017-12-24,666
1887,2017-12-25,668
1888,2017-12-26,871
1889,2017-12-27,906
1890,2017-12-28,894
1891,2017-12-29,812
1892,2017-12-30,1072
1893,2017-12-31,887
1894,2018-01-01,1110
2245,2018-12-18,1332
2246,2018-12-19,1332
2247,2018-12-20,1332
2248,2018-12-21,1332
2249,2018-12-22,1332
2250,2018-12-23,1332
2251,2018-12-24,1332
2252,2018-12-25,1332
2253,2018-12-26,1332
2254,2018-12-27,1332
2255,2018-12-28,1332
2256,2018-12-29,1332
2257,2018-12-30,1332
2258,2018-12-31,1332
2259,2019-01-01,1332
