,y,a
416,2013-12-18,169325
417,2013-12-19,169479
418,2013-12-20,169634
419,2013-12-21,169855
420,2013-12-22,170060
421,2013-12-23,170261
422,2013-12-24,170431
423,2013-12-25,170866
424,2013-12-26,171231
425,2013-12-27,171479
426,2013-12-28,171678
427,2013-12-29,171945
428,2013-12-30,172132
429,2013-12-31,172293
430,2014-01-01,172578
782,2014-12-18,300795
783,2014-12-19,300967
784,2014-12-20,301177
785,2014-12-21,301455
786,2014-12-22,301719
787,2014-12-23,301890
788,2014-12-24,302038
789,2014-12-25,302213
790,2014-12-26,302474
791,2014-12-27,302663
792,2014-12-28,302959
793,2014-12-29,303223
794,2014-12-30,303476
795,2014-12-31,303662
796,2015-01-01,304005
1148,2015-12-18,408123
1149,2015-12-19,407516
1150,2015-12-20,406879
1151,2015-12-21,406199
1152,2015-12-22,405557
1153,2015-12-23,404921
1154,2015-12-24,404197
1155,2015-12-25,403454
1156,2015-12-26,402944
1157,2015-12-27,402357
1158,2015-12-28,401876
1159,2015-12-29,401366
1160,2015-12-30,400816
1161,2015-12-31,400403
1162,2016-01-01,400036
1515,2016-12-18,542951
1516,2016-12-19,543443
1517,2016-12-20,543935
1518,2016-12-21,544427
1519,2016-12-22,544919
1520,2016-12-23,545411
1521,2016-12-24,545903
1522,2016-12-25,546395
1523,2016-12-26,546887
1524,2016-12-27,547379
1525,2016-12-28,547871
1526,2016-12-29,548363
1527,2016-12-30,548875
1528,2016-12-31,549401
1529,2017-01-01,550188
1881,2017-12-18,807027
1882,2017-12-19,807769
1883,2017-12-20,808588
1884,2017-12-21,809276
1885,2017-12-22,809942
1886,2017-12-23,810920
1887,2017-12-24,811586
1888,2017-12-25,812254
1889,2017-12-26,813125
1890,2017-12-27,814031
1891,2017-12-28,814925
1892,2017-12-29,815737
1893,2017-12-30,816809
1894,2017-12-31,817696
1895,2018-01-01,818806
2246,2018-12-18,1255359
2247,2018-12-19,1256691
2248,2018-12-20,1258023
2249,2018-12-21,1259355
2250,2018-12-22,1260687
2251,2018-12-23,1262019
2252,2018-12-24,1263351
2253,2018-12-25,1264683
2254,2018-12-26,1266015
2255,2018-12-27,1267347
2256,2018-12-28,1268679
2257,2018-12-29,1270011
2258,2018-12-30,1271343
2259,2018-12-31,1272675
2260,2019-01-01,1274007
