,y,a
0,2012-10-30,159
1,2012-10-31,145
2,2012-11-01,108
3,2012-11-02,84
4,2012-11-03,95
5,2012-11-04,158
6,2012-11-05,171
7,2012-11-06,171
8,2012-11-07,148
9,2012-11-08,129
10,2012-11-09,129
11,2012-11-10,103
12,2012-11-11,194
13,2012-11-12,186
14,2012-11-13,119
15,2012-11-14,318
16,2012-11-15,273
17,2012-11-16,143
18,2012-11-17,310
19,2012-11-18,134
20,2012-11-19,144
21,2012-11-20,150
22,2012-11-21,217
23,2012-11-22,138
24,2012-11-23,124
25,2012-11-24,159
26,2012-11-25,167
27,2012-11-26,157
28,2012-11-27,126
29,2012-11-28,145
30,2012-11-29,141
31,2012-11-30,109
32,2012-12-01,129
33,2012-12-02,214
34,2012-12-03,238
35,2012-12-04,134
36,2012-12-05,155
37,2012-12-06,173
38,2012-12-07,121
39,2012-12-08,139
40,2012-12-09,258
41,2012-12-10,224
42,2012-12-11,160
43,2012-12-12,139
44,2012-12-13,117
45,2012-12-14,107
46,2012-12-15,125
47,2012-12-16,140
48,2012-12-17,149
49,2012-12-18,86
50,2012-12-19,155
51,2012-12-20,104
52,2012-12-21,88
53,2012-12-22,123
54,2012-12-23,170
55,2012-12-24,139
56,2012-12-25,170
57,2012-12-26,230
58,2012-12-27,219
59,2012-12-28,162
60,2012-12-29,167
61,2012-12-30,165
62,2012-12-31,122
63,2013-01-01,185
64,2013-01-02,178
65,2013-01-03,227
66,2013-01-04,199
67,2013-01-05,162
68,2013-01-06,202
69,2013-01-07,211
70,2013-01-08,230
71,2013-01-09,162
72,2013-01-10,181
73,2013-01-11,150
74,2013-01-12,216
75,2013-01-13,213
76,2013-01-14,163
77,2013-01-15,183
78,2013-01-16,188
79,2013-01-17,182
80,2013-01-18,132
81,2013-01-19,173
82,2013-01-20,232
83,2013-01-21,188
84,2013-01-22,163
85,2013-01-23,205
86,2013-01-24,246
87,2013-01-25,153
88,2013-01-26,172
89,2013-01-27,196
90,2013-01-28,168
91,2013-01-29,195
92,2013-01-30,220
93,2013-01-31,240
94,2013-02-01,133
95,2013-02-02,128
96,2013-02-03,178
97,2013-02-04,222
