,y,a
0,2012-10-29,82488
1,2012-10-30,82647
2,2012-10-31,82792
3,2012-11-01,82900
4,2012-11-02,82984
5,2012-11-03,83079
6,2012-11-04,83237
7,2012-11-05,83408
8,2012-11-06,83579
9,2012-11-07,83727
10,2012-11-08,83856
11,2012-11-09,83985
12,2012-11-10,84088
13,2012-11-11,84282
14,2012-11-12,84468
15,2012-11-13,84587
16,2012-11-14,84905
17,2012-11-15,85178
18,2012-11-16,85321
19,2012-11-17,85631
20,2012-11-18,85765
21,2012-11-19,85909
22,2012-11-20,86059
23,2012-11-21,86276
24,2012-11-22,86414
25,2012-11-23,86538
26,2012-11-24,86697
27,2012-11-25,86864
28,2012-11-26,87021
29,2012-11-27,87147
30,2012-11-28,87292
31,2012-11-29,87433
32,2012-11-30,87542
33,2012-12-01,87671
34,2012-12-02,87885
35,2012-12-03,88123
36,2012-12-04,88257
37,2012-12-05,88412
38,2012-12-06,88585
39,2012-12-07,88706
40,2012-12-08,88845
41,2012-12-09,89103
42,2012-12-10,89327
43,2012-12-11,89487
44,2012-12-12,89626
45,2012-12-13,89743
46,2012-12-14,89850
47,2012-12-15,89975
48,2012-12-16,90115
49,2012-12-17,90264
50,2012-12-18,90350
51,2012-12-19,90505
52,2012-12-20,90609
53,2012-12-21,90697
54,2012-12-22,90820
55,2012-12-23,90990
56,2012-12-24,91129
57,2012-12-25,91299
58,2012-12-26,91529
59,2012-12-27,91748
60,2012-12-28,91910
61,2012-12-29,92077
62,2012-12-30,92242
63,2012-12-31,92364
64,2013-01-01,92549
65,2013-01-02,92727
66,2013-01-03,92954
67,2013-01-04,93153
68,2013-01-05,93315
69,2013-01-06,93517
70,2013-01-07,93728
71,2013-01-08,93958
72,2013-01-09,94120
73,2013-01-10,94301
74,2013-01-11,94451
75,2013-01-12,94667
76,2013-01-13,94880
77,2013-01-14,95043
78,2013-01-15,95226
79,2013-01-16,95414
80,2013-01-17,95596
81,2013-01-18,95728
82,2013-01-19,95901
83,2013-01-20,96133
84,2013-01-21,96321
85,2013-01-22,96484
86,2013-01-23,96689
87,2013-01-24,96935
88,2013-01-25,97088
89,2013-01-26,97260
90,2013-01-27,97456
91,2013-01-28,97624
92,2013-01-29,97819
93,2013-01-30,98039
94,2013-01-31,98279
95,2013-02-01,98412
96,2013-02-02,98540
97,2013-02-03,98718
98,2013-02-04,98940
99,2013-02-05,99144
100,2013-02-06,99339
101,2013-02-07,99515
102,2013-02-08,99637
103,2013-02-09,99814
104,2013-02-10,99975
105,2013-02-11,100247
106,2013-02-12,100456
107,2013-02-13,100679
108,2013-02-14,100826
109,2013-02-15,100971
110,2013-02-16,101104
111,2013-02-17,101295
112,2013-02-18,101489
113,2013-02-19,101702
114,2013-02-20,101891
115,2013-02-21,102090
116,2013-02-22,102227
117,2013-02-23,102377
118,2013-02-24,102545
119,2013-02-25,102756
120,2013-02-26,102941
121,2013-02-27,103132
122,2013-02-28,103264
123,2013-03-01,103458
124,2013-03-02,103618
125,2013-03-03,103868
126,2013-03-04,104043
127,2013-03-05,104330
128,2013-03-06,104543
129,2013-03-07,104720
130,2013-03-08,104851
131,2013-03-09,104976
132,2013-03-09,105153
133,2013-03-10,105294
134,2013-03-11,105436
135,2013-03-12,105829
136,2013-03-13,106095
137,2013-03-14,106280
138,2013-03-15,106458
139,2013-03-16,106675
140,2013-03-17,106889
141,2013-03-18,107056
142,2013-03-19,107229
143,2013-03-20,107382
144,2013-03-21,107561
145,2013-03-22,107715
146,2013-03-23,107870
147,2013-03-24,108044
148,2013-03-25,108215
149,2013-03-26,108466
150,2013-03-27,108655
151,2013-03-28,108800
152,2013-03-29,108946
153,2013-03-30,109086
154,2013-03-31,109290
155,2013-04-01,109495
156,2013-04-02,109849
157,2013-04-03,110100
158,2013-04-04,110303
159,2013-04-05,110528
160,2013-04-06,110697
161,2013-04-07,110936
162,2013-04-08,111168
163,2013-04-09,111504
164,2013-04-10,111762
165,2013-04-11,112002
166,2013-04-12,112183
167,2013-04-13,112368
168,2013-04-14,112642
169,2013-04-15,112852
170,2013-04-16,113040
171,2013-04-17,113246
172,2013-04-18,113426
173,2013-04-19,113535
174,2013-04-20,113671
175,2013-04-21,114028
176,2013-04-22,114335
177,2013-04-23,114828
178,2013-04-24,115299
179,2013-04-25,115604
180,2013-04-26,115903
181,2013-04-27,116133
182,2013-04-28,116480
183,2013-04-29,116709
184,2013-04-30,116957
185,2013-05-01,117304
186,2013-05-02,117545
187,2013-05-03,117725
188,2013-05-04,117898
189,2013-05-05,118094
190,2013-05-06,118310
191,2013-05-07,118496
192,2013-05-08,118831
193,2013-05-09,119102
194,2013-05-10,119303
195,2013-05-11,119554
196,2013-05-12,119875
197,2013-05-13,120202
198,2013-05-14,120484
199,2013-05-15,120765
200,2013-05-16,121033
201,2013-05-17,121236
202,2013-05-18,121454
203,2013-05-19,121721
204,2013-05-20,121977
205,2013-05-21,122208
206,2013-05-22,122396
207,2013-05-23,122592
208,2013-05-24,122772
209,2013-05-25,123106
210,2013-05-26,123349
211,2013-05-27,123581
212,2013-05-28,123810
213,2013-05-29,124054
214,2013-05-30,124268
215,2013-05-31,124476
216,2013-06-01,124687
217,2013-06-02,124974
218,2013-06-03,125212
219,2013-06-04,125422
220,2013-06-05,125617
221,2013-06-06,125832
222,2013-06-07,126082
223,2013-06-08,126326
224,2013-06-09,126559
225,2013-06-10,126732
226,2013-06-11,126949
227,2013-06-12,127197
228,2013-06-13,127375
229,2013-06-14,127495
230,2013-06-15,127673
231,2013-06-16,127902
232,2013-06-17,128119
233,2013-06-18,128404
234,2013-06-19,128683
235,2013-06-20,128936
236,2013-06-21,129104
237,2013-06-22,129293
238,2013-06-23,129522
239,2013-06-24,129723
240,2013-06-25,129907
241,2013-06-26,130180
242,2013-06-27,130423
243,2013-06-28,130592
244,2013-06-29,130743
245,2013-06-30,131088
246,2013-07-01,131364
247,2013-07-02,131585
248,2013-07-03,131799
249,2013-07-04,131944
250,2013-07-05,132084
251,2013-07-06,132222
252,2013-07-07,132500
253,2013-07-08,132749
254,2013-07-09,133024
255,2013-07-10,133207
